RPTID	CAUSE	CAUSE_TXT	PIPE_COAT	PIPE_COAT_TXT	VIS_EXAM	VIS_EXAM_TXT	VIS_EXAMO	COR_CAUSE	COR_CAUSE_TXT	COR_CAUSEO	PROT	CPYR	PREV_DAM	PREV_DAM_YR	PREV_DAM_MO	PREV_DAM_UK	EARTH_MOVE	EARTH_MOVE_TXT	EARTH_MOVEO	FLOODS	FLOODS_TXT	FLOODSO	TEMPER	TEMPER_TXT	TEMPERO	THIRD_PARTY_GRP	THIRD_PARTY_GRP_TXT	THIRD_PARTY_TYPE	THIRD_PARTY_TYPE_TXT	THIRD_PARTY_TYPEO	EXCAV_TYPE	EXCAV_TYPE_TXT	EXCAV_ON	EXCAV_LAST_CONTACT	NOTIF	NOTIF_DATE	NOTIF_RCVD_TXT	MARKED	TEMP_MARK	TEMP_MARK_TXT	PERM_MARK	ACC_MARK	ACC_MARK_TXT	MKD_IN_TIME	FIRE_EXPLO	FIRE_EXPLO_TXT	PIPE_BODY	PIPE_BODY_TXT	PIPE_BODYO	COMPONENT	COMPONENT_TXT	COMPONENTO	JOINT	JOINT_TXT	JOINTO	BUTT	BUTT_TXT	BUTTO	FILLET	FILLET_TXT	FILLETO	PIPE_SEAM	PIPE_SEAM_TXT	PIPE_SEAMO	FAIL_TYPE	FAIL_TYPE_TXT	CONS_DEF	CONS_DEF_TXT	PIPE_DAMAGE	PRS_TEST	TEST_MO	TEST_DAY	TEST_YR	TEST_MED	TEST_MED_TXT	TEST_MEDO	TEST_TP	TEST_PRS	MALFUNC	MALFUNC_TXT	MALFUNCO	THREADS	THREADS_TXT	THREADSO	SEAL	SEAL_TXT	SEALO	IO_TYPE	IO_TYPE_TXT	IO_TYPEO	IO_DRUG	IO_ALCO	MISC	UNKNOWN	UNKNOWN_TXT
20050350	15	COMPONENT																																																3	VESSEL														2	MATERIAL DEFECT			NO	NO																									
20050351	17	BUTT WELD																																																						1	PIPE								1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	YES	8	16	1986	1	WATER		24	1757																	
20050352																																																																																															
20050353																																																																																															
20050354																																																																																															
20050355																																																																																															
20050356	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1992	NO																																																																																		
20050357	4	LIGHTNING																																																																																													
20050358	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		3	STRAY CURRENT		YES	1960	NO																																																																																		
20050359	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	12	OTHER	WORKING A GRAVEL PIT NEAR PIPELINE ROW	2	"SUB-STRATA (BORING, DIRECTIONAL DRILLING, ETC)"	YES		NO			NO																																																									
20050360																																																																																															
20050361	7	HIGH WINDS																																																																																													
20050362	15	COMPONENT																																																5	OTHER	TANK FLOOR													1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	NO																									
20050363	19	PIPE SEAM WELD																																																												1	LF ERW		2	MATERIAL DEFECT			NO	YES	2	6	1994	1	WATER		8	1263																	
20050364																																																																																															
20050365	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1992	NO																																																																																		
20050366																																																																																															
20050367	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1992	NO																																																																																		
20050368	23	INCORRECT OPERATION																																																																																						4	OTHER	"INADEQUATE PIPE IDENTIFICATION/LABELING, BLIND FLA"					
20050369																																																																																															
20050370	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	7	LANDOWNER - NOT FARMING RELATED		1	OPEN TRENCH			NO			NO																																	6	15	1977																						
20050371																																																																																															
20050372	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	FERRULE FITTING											
20050373	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20050374	24	MISCELLANEOUS																																																																																											PACKING FAILURE		
20060002	24	MISCELLANEOUS																																																																																											CRACK IN TANK FLOOR.  NO CORROSION FOUND. UPON FURTHER INVESTIGATION GOUGE WAS FOUND ON THE UNDERNEATH SIDE OF FLOOR. GOUGE APPEARED TO BE CAUSED BY WELDING TORCH. 		
20060003																																																																																															
20060004	23	INCORRECT OPERATION																																																																																						4	OTHER	MORE OIL BEHIND DISPLACEMENT SQUEEGE THAN ANTISIPA	0	0			
20060005	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			2	O-RING									
20060006																																																																																															
20060007	7	HIGH WINDS																																																																																													
20060008	24	MISCELLANEOUS																																																																																											THE BOLTS THAT SECURES THE METER CASE TO THE INNER-MECHANISM BACKED ENTIRELY OUT OF THE METER CASE WHICH ALLOWED CRUDE OIL TO ESCAPE.  REPLACED THE INNER-MECHANISM.		
20060009	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			1	GASKET									
20060010	7	HIGH WINDS																																																																							1995																						
20060011																																																																																															
20060012	19	PIPE SEAM WELD																																																												8	OTHER	LACK OF FUSION/COLD	2	MATERIAL DEFECT			NO	YES	10	15	2003	1	WATER		8	1556																	
20060013	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																1	NIPPLES												
20060014																																																																																															
20060015																																																																																															
20060016																																																																																															
20060017																																																																																															
20060018	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1980	NO																																																																																		
20060020	15	COMPONENT																																																5	OTHER	LEAK CLAMP													1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	NO																									
20060021	1	"CORROSION, EXTERNAL"	2	COATED	3	OTHER	CIRCUMFERENTIAL CRACK	6	STRESS CORROSION CRACKING		YES	1972	YES	0	0	YES																																																																															
20060022	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1980	NO																																																																																		
20060023	14	BODY OF PIPE																																													2	GOUGE																	1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	YES	10	29	2005	1	WATER		0	1300																	
20060024																																																																																															
20060025	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																1	NIPPLES												
20060026	23	INCORRECT OPERATION																																																																																						4	OTHER	"MAINTENANCE ACTIVITY, REMOVING VALVE."	0	0			
20060027																																																																																															
20060028																																																																																															
20060029																																																																																															
20060030	1	"CORROSION, EXTERNAL"	2	COATED																																																																																											
20060031	11	"CAR, TRUCK OR OTHER VEHICLE NOT RELATED TO EXCAVATION ACTIVITY"																																																																																													
20060032	25	UNKNOWN									YES		NO																																																																																		
20060033																																																																																															
20060034	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			1	GASKET									
20060035																																																																																															
20060036																																																																																															
20060037	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1950	NO																																																																																		
20060038																																																																																															
20060039	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		3	STRAY CURRENT		YES	1965	NO																																																																																		
20060040	11	"CAR, TRUCK OR OTHER VEHICLE NOT RELATED TO EXCAVATION ACTIVITY"																																																																																													
20060041	9	THIRD PARTY EXCAVATION DAMAGE																																																																																													
20060042	16	JOINT																																																			1	GASKET																																									
20060044																																																																																															
20060045																																																																																															
20060047	25	UNKNOWN																																																																																												1	INVESTIGATION COMPLETE
20060048	7	HIGH WINDS																																																																																													
20060049	7	HIGH WINDS																																																																																													
20060050	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	7	LANDOWNER - NOT FARMING RELATED		1	OPEN TRENCH	NO		YES	1/1/2000	ONE-CALL SYSTEM	YES	1	FLAGS		1	ACCURATE	YES																																																			
20060051	14	BODY OF PIPE																																													5	OTHER	PIN HOLE																2	MATERIAL DEFECT			NO	YES	6	8	1988	1	WATER		8	1599																	
20060054																																																																																															
20060055	24	MISCELLANEOUS																																																																																											EQUIPMENT USED DURING SCRAPER TRAP REMOVAL WORK MAY HAVE CAUSED DAMAGED DRAIN CONNECTION.  		
20060056																																																																																															
20060057	23	INCORRECT OPERATION																																																																																						4	OTHER	PLASTIC END CAPS DID NOT HOLD					
20060058	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1950	NO																																																																																		
20060059																																																																																															
20060060																																																																																															
20060061	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20060062	15	COMPONENT																																																1	VALVE														2	MATERIAL DEFECT			NO	NO																									
20060063																																																																																															
20060064	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20060065																																																																																															
20060066	19	PIPE SEAM WELD																																																												6	SAW		2	MATERIAL DEFECT			NO	YES	9	18	1996	1	WATER		20	1519																	
20060067	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20060068	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1960	NO																																																																																		
20060069																																																																																															
20060070																																																																																															
20060071	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	SALT WATER	YES	1995	NO																																																																																		
20060072	2	"CORROSION, INTERNAL"	1	BARE	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1977	NO																																																																																		
20060074																																																																																															
20060075																																																																																															
20060076	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			2	O-RING									
20060077																																																																																															
20060078	2	"CORROSION, INTERNAL"	2	COATED	3	OTHER	SMOOTH HOLE				YES		NO																																																																																	1	INVESTIGATION COMPLETE
20060079	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING	 	4	MICROBIOLOGICAL	CORROSION 	YES	1981	NO																																																																																		
20060080																																																																																															
20060081	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20060082	7	HIGH WINDS																																																																																													
20060083	24	MISCELLANEOUS						21																																																																										1	NIPPLES										"WE BELIEVE THAT THE VENT LINE HAD A FORCE APPLIED TO IT POSSIBLY BY GRAZING ANIMALS. THIS CAUSED STRESS ON THE SCREWED VALVE FITTING, RESULTING IN THE PRESENCE OF VAPORS AROUND THE FITTING.."	1	INVESTIGATION COMPLETE
20060084	11	"CAR, TRUCK OR OTHER VEHICLE NOT RELATED TO EXCAVATION ACTIVITY"																																																																																													
20060086	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		1	1			
20060087																																																																																															
20060088	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	CRACKED 3/4 INCH FITTING.											
20060089	24	MISCELLANEOUS																																																																																											"AFTER PIGGING, NITROGEN WAS BEING BLEED OFF, PRESSURE ON LINE WAS < 5 PSI, OPERATOR WAS GIVEN THE GO AHEAD TO OPEN THE 2"" BLEED VALVE, PRODUCT HAD BEEN TRAPPED BY NITROGEN IN THE LOW SPOT IN THE LINE AND DISCHARGED SEVERAL MINUTES AFTER THE VALVE WAS OPENED."		
20060090	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1949	NO																																																																																		
20060091	24	MISCELLANEOUS																																																																																											NIPPLE ON DISCHARGE OF PUMP BROKE.		
20060092	18	FILLET WELD																																																									4	REPAIR SLEEVE					1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	NO																									
20060093																																																																																															
20060095																																																																																															
20060096																																																																																															
20060097	19	PIPE SEAM WELD																																																												8	OTHER	BESSEMER FURNACE BUTT	2	MATERIAL DEFECT			NO	NO																									
20060098	7	HIGH WINDS	2	COATED						PIPE ON PIPE	YES		NO																																																																		4	COMMUNICATIONS								1	INADEQUATE PROCEDURES	NO PHONE SERVICE					
20060099																																																																																															
20060101																																																																																															
20060102																																																																																															
20060103																																																																																															
20060104																																																																																															
20060105																																																																																															
20060106	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1958	NO																																																																																		
20060107	2	"CORROSION, INTERNAL"	2	COATED	3	OTHER	LINE CLAMPED UNTIL SMART PIG IS RUN	4	MICROBIOLOGICAL		YES	1958	NO																																																																																		
20060108	2	"CORROSION, INTERNAL"	2	COATED	3	OTHER	LINE IS BEING CLAMPED UNTIL SMART PIG RUN IS MADE 	4	MICROBIOLOGICAL		YES	1958	NO																																																																																		
20060109																																																																																															
20060110																																																																																															
20060111																																																																																															
20060112																																																																																															
20060113																																																																																															
20060114																																																																																															
20060115																																																																																															
20060116																																																																																															
20060117	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	3/8 TUBING FITTING ON SUCTION TRANS.											
20060118	1	"CORROSION, EXTERNAL"	1	BARE	2	GENERAL CORROSION		1	GALVANIC		YES	1972	NO																																																																																		
20060119	24	MISCELLANEOUS																																																																																											"AFTER CLEANING, INSPECTING, REPAIRING AND RETURNING TO SERVICE REPAIR PATCH FAILED IN TANK SUMP.  A PLUG COVERED BY A STEEL WELDED PATCH FAILED IN THE TANK SUMP DUE TO PLUG FORCING STEEL REPAIR PATCH FROM SUMP FLOOR DURING THE FILLING OF THE TANK."		
20060120																																																																																															
20060121																																																																																															
20060122	24	MISCELLANEOUS																																											11																																																DAMAGE SUSPECTED TO BE RELATED TO OYSTER BOATS FISHING WITH BUCKET DREDGING SEAFLOOR.		
20060123	24	MISCELLANEOUS																																																																															2												TANK OVERFILL	1	INVESTIGATION COMPLETE
20060124	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1977	NO																																																																																		
20060125																																																																																															
20060126																																																																																															
20060127																																																																																															
20060128	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20060129																																																																																															
20060130																																																																																															
20060131	17	BUTT WELD																																																						1	PIPE								1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	YES	11	5	1968	1	WATER		24	1499																	
20060132	2	"CORROSION, INTERNAL"	1	BARE	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1979	NO																																																																																		
20060133																																																																																															
20060134																																																																																															
20060135																																																																																															
20060136																																																																																															
20060137	19	PIPE SEAM WELD																																																												1	LF ERW		2	MATERIAL DEFECT			NO	YES	7	29	1997	1	WATER		8	1383																	
20060138	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																1	NIPPLES												
20060139																																																																																															
20060140	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	COATING DAMAGE	YES	2000	NO																																																																																		
20060141	9	THIRD PARTY EXCAVATION DAMAGE																								1	GENERAL PUBLIC	11	NAUTICAL OPERATIONS		2	"SUB-STRATA (BORING, DIRECTIONAL DRILLING, ETC)"	NO		NO			NO																																																									
20060142	15	COMPONENT																																																2	FITTING														2	MATERIAL DEFECT			NO	NO																									
20060143	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20060144	23	INCORRECT OPERATION																																																																																						1	INADEQUATE PROCEDURES		0	0			
20060145	18	FILLET WELD																																																									5	OTHER	TANK PLATE WELD				2	MATERIAL DEFECT			NO	NO																									
20060146	2	"CORROSION, INTERNAL"	2	COATED	3	OTHER	OTHER	8	OTHER	OTHER	NO		NO																																																																																		
20060147	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			4	OTHER	FLOW SWITCH (BELLOWS SEAL)								
20060148																																																																																															
20060149	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1970	NO																																																																																		
20060150	23	INCORRECT OPERATION																																																																																						2	INADEQUATE SAFETY PRACTICES		0	0			
20060151	17	BUTT WELD																																																						1	PIPE								1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	NO																									
20060152	2	"CORROSION, INTERNAL"	2	COATED	2	GENERAL CORROSION		4	MICROBIOLOGICAL		YES	1978	NO																																																																																		
20060153	24	MISCELLANEOUS																																																																																											SUSPECTED LEAKING TANK BOTTOM		
20060154	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			4	OTHER	PUMP OUTER SLEEVE								
20060155																																																																																															
20060156																																																																																															
20060157	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	STOPPLE WORK 											
20060160	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1999	NO																																																																																		
20060161																																																																																															
20060162	19	PIPE SEAM WELD																																																												3	SEAMLESS		1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	YES	8	8	2000	1	WATER		4	1420																	
20060163	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	NOTHING											
20060164	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20060165	4	LIGHTNING																																																																																													
20060166																																																																																															
20060167	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20060168																																																																																															
20060169																																																																																															
20060170																																																																																															
20060171																																																																																															
20060172	24	MISCELLANEOUS																																																																																											INTERNAL ELECTROSTATIC DISCHARGE.		
20060173	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20060174																																																																																															
20060175	24	MISCELLANEOUS																																																																																											"1/2"" STAINLESS STEEL TUBING - COOLING LINE FAILURE OF PUMP #8"		
20060176																																																																																															
20060177																																																																																															
20060178																																																																																															
20060179																																																																																															
20060180	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			2	O-RING									
20060181	13	VANDALISM																																																																																													
20060182	23	INCORRECT OPERATION																																																																																						4	OTHER	VALVE LEFT OPEN					
20060183	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20060184																																																																																															
20060185	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			4	OTHER	TANK MIXER SEAL								
20060186	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20060187																																																																																															
20060188																																																																																															
20060189																																																																																															
20060190	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1986	NO																																																																																		
20060191	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20060192	4	LIGHTNING																																																																																													
20060193	1	"CORROSION, EXTERNAL"	2	COATED				6	STRESS CORROSION CRACKING																																						0																		5				NO																										
20060194	1	"CORROSION, EXTERNAL"	2	COATED				6	STRESS CORROSION CRACKING																																																								5									1	WATER																				
20060195	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20060196																																																																																															
20060197																																																																																															
20060198																																																																																															
20060199																																																																																															
20060200	10	FIRE/EXPLOSION AS PRIMARY CAUSE																																											2	NATURAL																																																	
20060201	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	12	OTHER	DIGGING A TRASH PIT	1	OPEN TRENCH	NO		NO			NO																																																									
20060202																																																																																															
20060203	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	2003	NO																																																																																		
20060204																																																																																															
20060205	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	DISBONDED TAPE WRAP	YES	1966	NO																																																																																		
20060206	12	RUPTURE OF PREVIOUSLY DAMAGED PIPE																																																																																													
20060207	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES						
20060208	24	MISCELLANEOUS																																																																																											SEE PART I BELOW		
20060209																																																																																															
20060210																																																																																															
20060211	9	THIRD PARTY EXCAVATION DAMAGE																								1	GENERAL PUBLIC	8	FARMING		1	OPEN TRENCH	NO		NO			NO																																																									
20060212																																																																																															
20060213																																																																																															
20060214																																																																																															
20060215																																																																																															
20060216																																																																																															
20060217	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													6	RELIEF VALVE															
20060218	12	RUPTURE OF PREVIOUSLY DAMAGED PIPE																																																																																													
20060219	2	"CORROSION, INTERNAL"	1	BARE	2	GENERAL CORROSION		6	STRESS CORROSION CRACKING				NO																																								3	THREADS											5		4		NO	NO												1	NIPPLES												
20060224																																																																																															
20060225																																																																																															
20060226																																																																																															
20060227	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													6	RELIEF VALVE															
20060228																																																																																															
20060229																																																																																															
20060230																																																																																															
20060231																																																																																															
20060232	18	FILLET WELD																																																									3	FITTING					1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	NO																									
20060233	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	UNKNOWN	YES	1973	NO																																																																																		
20060234	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	12	OTHER	OIL PRODUCER LAYING CABLE TO FACILITY	1	OPEN TRENCH	NO		NO			NO																																																									
20060236																																																																																															
20060237																																																																																															
20060238	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													1	CONTROL VALVE															
20060240																																																																																															
20060241	23	INCORRECT OPERATION																																																																																						4	OTHER	TERMINAL OPERATOR INADVERTENTLY BLOCKED DELIVERY	0	0			
20060242																																																																																															
20060243																																																																																															
20060244																																																																																															
20060245																																																																																															
20060246	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			2	O-RING									
20060247																																																																																															
20060248	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													2	INSTRUMENTATION															
20060249																																																																																															
20060250	4	LIGHTNING																																																																																													
20060251	19	PIPE SEAM WELD																																																												1	LF ERW		2	MATERIAL DEFECT			NO	YES	4	1	1968	1	WATER		8	1465																	
20060252																																																																																															
20060253	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1957	NO																																																																																		
20060254	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	CONTACT WITH CONCRETE	YES	1972	NO																																																																																		
20060255	2	"CORROSION, INTERNAL"	2	COATED	3	OTHER	MICROBIOLOGICAL	4	MICROBIOLOGICAL		YES	1975	NO																																																																																		
20060256																																																																																															
20060257	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													2	INSTRUMENTATION															
20060258	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		2	ATMOSPHERIC		YES	1968	NO																																																																																		
20060259																																																																																															
20060260	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	TANK MIXER (SNAP RING)											
20060261	17	BUTT WELD																																																						1	PIPE								1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	YES	7	10	1987	1	WATER		24	2398																	
20060262																																																																																															
20060263																																																																																															
20060264																																																																																															
20060265																																																																																															
20060266																																																																																															
20060267	2	"CORROSION, INTERNAL"	2	COATED	3	OTHER	INTERNAL	4	MICROBIOLOGICAL		YES	1969	NO																																																																																		
20060268																																																																																															
20060269																																																																																															
20060270	9	THIRD PARTY EXCAVATION DAMAGE																								1	GENERAL PUBLIC	6	PHONE/CABLE		1	OPEN TRENCH	YES		NO			YES			YES	1	ACCURATE																																																				
20060271																																																																																															
20060272	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													8	OTHER	PROVER DRAIN VALVE														
20060273																																																																																															
20060274	1	"CORROSION, EXTERNAL"	1	BARE	3	OTHER	UNDERSIDE PITTING	1	GALVANIC		YES	2000	NO																																																																																		
20060275	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1959	NO																																																																																		
20060276																																																																																															
20060277	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1990	NO																																																																																		
20060278																																																																																															
20060279	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1973	NO																																																																																		
20060280	2	"CORROSION, INTERNAL"	2	COATED	3	OTHER	TOPSIDE CORROSION	8	OTHER	GENERAL CORROSION DUE TO SUBMERGED SURFACE	YES	1978	NO																																																																																		
20060281	24	MISCELLANEOUS																																																																																											PIVOT MASTER ROOF DRAIN SYSTEM DEVELOPED A LEAK.		
20060283	23	INCORRECT OPERATION																																																																							2006															3	FAILURE TO FOLLOW PROCEDURES						
20060284	24	MISCELLANEOUS																																																																																											CRACK OF FLOOR PLATE OF BREAKOUT TANK. WE ARE SENDING FLOOR PLATE OUT FOR METALLURGICAL ANALYSIS.		
20060285																																																																																															
20060286	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			1	GASKET									
20060287																																																																																															
20060288																																																																																															
20060289	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	3	WATER		1	OPEN TRENCH			NO			NO																																																									
20060290	18	FILLET WELD																																																									2	HOT TAP					1	CONSTRUCTION DEFECT	3	POOR CONSTRUCTION PROCEDURES	NO	NO																									
20060291	24	MISCELLANEOUS																																																																																											BODY BLEED .5 INCH UNION LOOSE FITTING.		
20060292																																																																																															
20060293	2	"CORROSION, INTERNAL"	1	BARE	3	OTHER	INTERNAL- INSP. WHEN CUT OUT	4	MICROBIOLOGICAL		YES	1955	NO																																																																																		
20060295	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													6	RELIEF VALVE															
20060296																																																																																															
20060297	1	"CORROSION, EXTERNAL"	2	COATED	2	GENERAL CORROSION		2	ATMOSPHERIC		YES	1977	NO																																																																																		
20060298																																																																																															
20060299	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	INTERFERENCE FROM ADJACENT PLS	YES	1956	NO																																																																																		
20060300																																																																																															
20060301																																																																																															
20060302	16	JOINT																																																			1	GASKET											2	MATERIAL DEFECT				NO																									
20060303																																																																																															
20060304																																																																																															
20060305	5	HEAVY RAINS/FLOODS																		5	OTHER	HEAVY RAIN / HIGH WIND 																																																																									
20060306																																																																																															
20060307																																																																																															
20060308	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	10	OTHER LIQUID OR GAS TRANSMISSION PIPELINE OPERATOR OR THEIR CONTRACTOR		1	OPEN TRENCH	NO		NO			NO																																																									
20060309	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20060310																																																																																															
20060311	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																1	NIPPLES												
20060312																																																																																															
20060313																																																																																															
